User,Income,Expense,Savings,SavingsRate,OverspendingIndex,RiskScore,RiskLevel,Recommendation
172,2394.0,4584.92,-2190.92,-0.915171261487051,1.915171261487051,1.4827306086657654,High,High spending - reduce discretionary expenses
8,0.0,3066.83,-3066.83,0.0,0.0,0.9469784875353486,Medium,Financially stable
35,6438.0,255.43,6182.57,0.9603246349798074,0.03967536502019261,-0.10468621719457871,Low,Financially stable
81,0.0,5035.530000000001,-5035.530000000001,0.0,0.0,0.9889626703942488,Medium,Financially stable
164,1609.0,3370.61,-1761.6100000000001,-1.094847731510255,2.0948477315102547,1.6808847779276308,High,High spending - reduce discretionary expenses
50,0.0,2673.87,-2673.87,0.0,0.0,0.6740436484876551,Medium,Financially stable
134,0.0,3539.87,-3539.87,0.0,0.0,0.5384876940616835,Medium,Financially stable
54,1385.0,6244.15,-4859.15,-3.50841155234657,4.50841155234657,3.4212052038211502,High,High spending - reduce discretionary expenses
106,0.0,2592.25,-2592.25,0.0,0.0,0.9291838594818973,Medium,Financially stable
4,0.0,2699.8,-2699.8,0.0,0.0,0.8291288345785222,Medium,Financially stable
191,0.0,3281.3,-3281.3,0.0,0.0,0.7734935110457953,Medium,Financially stable
146,0.0,2297.66,-2297.66,0.0,0.0,0.6927308155120631,Medium,Financially stable
44,0.0,1583.84,-1583.84,0.0,0.0,0.3858342197912978,Low,Financially stable
162,0.0,1757.64,-1757.64,0.0,0.0,0.5061288315821664,Medium,Financially stable
95,0.0,1663.79,-1663.79,0.0,0.0,0.6063159669594806,Medium,Financially stable
48,0.0,9200.54,-9200.54,0.0,0.0,0.766491505171482,Medium,Financially stable
200,2069.0,2389.1800000000003,-320.1800000000003,-0.15475108748187544,1.1547510874818754,1.097212508426803,High,Negative savings - increase income or cut costs
40,0.0,1961.22,-1961.22,0.0,0.0,0.8716570755574073,Medium,Financially stable
82,0.0,1956.63,-1956.63,0.0,0.0,0.7696816918312273,Medium,Financially stable
24,3396.0,4684.469999999999,-1288.4699999999993,-0.3794081272084804,1.3794081272084804,1.2514120189193647,High,Negative savings - increase income or cut costs
154,0.0,3159.8599999999997,-3159.8599999999997,0.0,0.0,1.130108473799155,High,High financial risk - review budget immediately
124,5471.0,4884.79,586.21,0.10714860171815026,0.8928513982818498,0.9811975300929948,Medium,Financially stable
41,2472.0,128.68,2343.32,0.9479449838187703,0.05205501618122978,0.2250062852909006,Low,Financially stable
157,0.0,883.92,-883.92,0.0,0.0,1.0469496155831002,High,High financial risk - review budget immediately
45,0.0,2797.0099999999998,-2797.0099999999998,0.0,0.0,0.915038523968394,Medium,Financially stable
65,0.0,4130.09,-4130.09,0.0,0.0,1.0381737723344773,High,High financial risk - review budget immediately
71,0.0,3421.05,-3421.05,0.0,0.0,0.6527698271598122,Medium,Financially stable
129,6771.0,3669.75,3101.25,0.4580194949047408,0.5419805050952592,0.8496043931486164,Medium,Financially stable
136,0.0,2523.33,-2523.33,0.0,0.0,0.3843863224712421,Low,Financially stable
63,0.0,6180.02,-6180.02,0.0,0.0,0.8317574964685479,Medium,Financially stable
139,0.0,913.71,-913.71,0.0,0.0,0.6434114226348936,Medium,Financially stable
163,4727.0,2233.56,2493.44,0.5274888935900148,0.47251110640998517,0.3347023976691174,Low,Financially stable
33,4592.0,4024.82,567.1799999999998,0.1235148083623693,0.8764851916376307,1.0950159292356512,High,High financial risk - review budget immediately
123,0.0,1707.9299999999998,-1707.9299999999998,0.0,0.0,0.3129299492865111,Low,Financially stable
5,0.0,3197.2799999999997,-3197.2799999999997,0.0,0.0,0.29241491087287047,Low,Financially stable
28,0.0,4009.2700000000004,-4009.2700000000004,0.0,0.0,0.7474515060467747,Medium,Financially stable
12,4203.0,2669.23,1533.77,0.36492267428027597,0.635077325719724,0.8337798443548786,Medium,Financially stable
151,0.0,5019.27,-5019.27,0.0,0.0,0.8690609782883565,Medium,Financially stable
62,0.0,5647.72,-5647.72,0.0,0.0,0.8233488175916073,Medium,Financially stable
37,4642.0,1454.13,3187.87,0.686744937526928,0.313255062473072,0.7895664831027904,Medium,Financially stable
99,597.0,3589.25,-2992.25,-5.01214405360134,6.01214405360134,4.623505642479136,High,High spending - reduce discretionary expenses
193,0.0,130.49,-130.49,0.0,0.0,0.6484963254972218,Medium,Financially stable
101,2654.0,5080.860000000001,-2426.8600000000006,-0.9144159758854561,1.9144159758854562,1.6003251742471525,High,High spending - reduce discretionary expenses
1,0.0,3033.0299999999997,-3033.0299999999997,0.0,0.0,0.618511976488272,Medium,Financially stable
142,0.0,2941.7000000000003,-2941.7000000000003,0.0,0.0,0.734051719170351,Medium,Financially stable
27,508.0,3674.94,-3166.94,-6.234133858267716,7.234133858267716,5.119380741359784,High,High spending - reduce discretionary expenses
137,0.0,1808.84,-1808.84,0.0,0.0,0.743140653997505,Medium,Financially stable
42,0.0,3248.79,-3248.79,0.0,0.0,0.6576735129193916,Medium,Financially stable
179,0.0,1033.1100000000001,-1033.1100000000001,0.0,0.0,0.7300832458631958,Medium,Financially stable
96,1211.0,4657.43,-3446.4300000000003,-2.845937241948803,3.845937241948803,3.0228568906440083,High,High spending - reduce discretionary expenses
52,0.0,3369.81,-3369.81,0.0,0.0,0.1845032940225676,Low,Financially stable
143,0.0,3541.41,-3541.41,0.0,0.0,0.4946974505527807,Low,Financially stable
171,0.0,1172.29,-1172.29,0.0,0.0,0.6532304814679432,Medium,Financially stable
29,0.0,3356.8,-3356.8,0.0,0.0,0.6638592226261796,Medium,Financially stable
36,2481.0,153.43,2327.57,0.9381580008061267,0.06184199919387344,0.37012347552136443,Low,Financially stable
13,5217.0,878.08,4338.92,0.8316887099865823,0.16831129001341769,0.4532437753614352,Low,Financially stable
160,0.0,9060.06,-9060.06,0.0,0.0,0.9782028788724936,Medium,Financially stable
187,2530.0,4793.22,-2263.2200000000003,-0.8945533596837946,1.8945533596837945,1.6636352622839599,High,High spending - reduce discretionary expenses
86,0.0,6403.6,-6403.6,0.0,0.0,0.6123514726424262,Medium,Financially stable
66,0.0,2691.75,-2691.75,0.0,0.0,0.3551315197782178,Low,Financially stable
185,820.0,2015.28,-1195.28,-1.4576585365853658,2.457658536585366,1.7215991667870987,High,High spending - reduce discretionary expenses
30,0.0,3199.36,-3199.36,0.0,0.0,0.7820545762807553,Medium,Financially stable
128,10002.0,3594.13,6407.87,0.6406588682263548,0.3593411317736453,0.7385843693493596,Medium,Financially stable
121,3540.0,904.15,2635.85,0.744590395480226,0.255409604519774,0.7620171368331926,Medium,Financially stable
116,0.0,3716.12,-3716.12,0.0,0.0,0.5093775985025717,Medium,Financially stable
3,2607.0,1770.41,836.5899999999999,0.3209014192558496,0.6790985807441504,0.6895523337204341,Medium,Financially stable
198,0.0,2744.74,-2744.74,0.0,0.0,0.7234229515023368,Medium,Financially stable
155,1676.0,824.47,851.53,0.5080727923627685,0.4919272076372315,1.0287850438578239,High,High financial risk - review budget immediately
165,0.0,144.68,-144.68,0.0,0.0,0.6979285079284934,Medium,Financially stable
118,1077.0,1604.28,-527.28,-0.4895821727019498,1.4895821727019498,1.6279163061236732,High,Negative savings - increase income or cut costs
113,5397.0,3784.54,1612.46,0.2987696868630721,0.701230313136928,0.7998120140630255,Medium,Financially stable
186,0.0,2376.24,-2376.24,0.0,0.0,0.9056052515714055,Medium,Financially stable
39,3298.0,1780.19,1517.81,0.46022134627046696,0.539778653729533,0.858117241206803,Medium,Financially stable
184,0.0,1671.84,-1671.84,0.0,0.0,0.7081738407873446,Medium,Financially stable
87,4585.0,0.0,4585.0,1.0,0.0,0.07087956483328328,Low,Financially stable
147,6745.0,5171.299999999999,1573.7000000000007,0.23331356560415134,0.7666864343958487,0.7578178307770183,Medium,Financially stable
126,0.0,1227.64,-1227.64,0.0,0.0,0.9727652490626101,Medium,Financially stable
68,0.0,1265.9399999999998,-1265.9399999999998,0.0,0.0,0.850521247981737,Medium,Financially stable
183,0.0,3377.6,-3377.6,0.0,0.0,0.5882261489313448,Medium,Financially stable
145,2694.0,2510.77,183.23000000000002,0.06801410541945063,0.9319858945805494,0.8588846127672188,Medium,Financially stable
69,7529.0,2583.0299999999997,4945.97,0.6569225660778324,0.3430774339221676,0.16893579727811808,Low,Financially stable
98,0.0,2811.45,-2811.45,0.0,0.0,0.9638239726820765,Medium,Financially stable
144,8109.0,1712.59,6396.41,0.7888037982488593,0.2111962017511407,0.6000062675607434,Medium,Financially stable
97,4124.0,1279.51,2844.49,0.6897405431619786,0.31025945683802136,0.46472226986395865,Low,Financially stable
70,2735.0,872.99,1862.01,0.6808080438756856,0.31919195612431445,0.5384174674074189,Medium,Financially stable
148,0.0,5835.55,-5835.55,0.0,0.0,0.24078304865963224,Low,Financially stable
195,0.0,4600.94,-4600.94,0.0,0.0,0.5776133150771644,Medium,Financially stable
168,0.0,3920.16,-3920.16,0.0,0.0,0.9418453424585413,Medium,Financially stable
11,0.0,832.98,-832.98,0.0,0.0,0.8712656896317306,Medium,Financially stable
178,0.0,1713.43,-1713.43,0.0,0.0,0.7410963256985007,Medium,Financially stable
159,0.0,822.44,-822.44,0.0,0.0,0.672012562558727,Medium,Financially stable
7,0.0,1830.33,-1830.33,0.0,0.0,0.8342373002249797,Medium,Financially stable
112,0.0,2808.46,-2808.46,0.0,0.0,0.618679192975497,Medium,Financially stable
140,2372.0,1478.08,893.9200000000001,0.37686340640809446,0.6231365935919055,0.3782131905610465,Low,Financially stable
197,3422.0,145.26,3276.74,0.957551139684395,0.04244886031560491,0.3034305885718632,Low,Financially stable
120,4045.0,773.85,3271.15,0.808689740420272,0.19131025957972805,0.4894972614086393,Low,Financially stable
166,0.0,671.11,-671.11,0.0,0.0,0.8994917512453185,Medium,Financially stable
153,2920.0,2169.87,750.1300000000001,0.2568938356164384,0.7431061643835616,0.5068913772550077,Medium,Financially stable
110,0.0,881.95,-881.95,0.0,0.0,0.6503739529754232,Medium,Financially stable
194,685.0,1218.56,-533.56,-0.778919708029197,1.778919708029197,1.5051392789551274,High,High spending - reduce discretionary expenses
169,0.0,471.39,-471.39,0.0,0.0,0.4547058333162919,Low,Financially stable
176,2078.0,1605.4299999999998,472.57000000000016,0.22741578440808477,0.7725842155919153,0.9132998201847137,Medium,Financially stable
115,0.0,3136.45,-3136.45,0.0,0.0,0.8244298206080746,Medium,Financially stable
119,3138.0,0.0,3138.0,1.0,0.0,0.21681775267950562,Low,Financially stable
109,0.0,1238.76,-1238.76,0.0,0.0,1.0859747360100087,High,High financial risk - review budget immediately
182,0.0,113.06,-113.06,0.0,0.0,0.6110842127789826,Medium,Financially stable
61,0.0,366.13,-366.13,0.0,0.0,0.5856195201475809,Medium,Financially stable
17,2812.0,108.77,2703.23,0.9613193456614509,0.03868065433854907,0.20689840272897814,Low,Financially stable
46,0.0,3021.2599999999998,-3021.2599999999998,0.0,0.0,0.5118563996280165,Medium,Financially stable
6,2638.0,1956.01,681.99,0.2585253980288097,0.7414746019711903,0.6821833370187761,Medium,Financially stable
181,0.0,932.06,-932.06,0.0,0.0,0.3881384404392095,Low,Financially stable
67,987.0,2284.23,-1297.23,-1.3143161094224924,2.314316109422492,1.8566709260988001,High,High spending - reduce discretionary expenses
25,0.0,1536.02,-1536.02,0.0,0.0,0.6864510148905736,Medium,Financially stable
174,0.0,1921.51,-1921.51,0.0,0.0,0.21839571627755466,Low,Financially stable
114,2036.0,281.54,1754.46,0.8617190569744597,0.13828094302554028,0.35136297190762117,Low,Financially stable
32,4491.0,1170.22,3320.7799999999997,0.7394299710532175,0.26057002894678244,0.4657820508968478,Low,Financially stable
127,0.0,1244.98,-1244.98,0.0,0.0,0.7778740124238221,Medium,Financially stable
43,0.0,1961.1000000000001,-1961.1000000000001,0.0,0.0,0.9158832288008794,Medium,Financially stable
26,0.0,1669.88,-1669.88,0.0,0.0,0.8452270672058163,Medium,Financially stable
57,0.0,1274.47,-1274.47,0.0,0.0,0.5508834697786039,Medium,Financially stable
173,0.0,363.39,-363.39,0.0,0.0,0.5276737798341851,Medium,Financially stable
20,0.0,695.06,-695.06,0.0,0.0,0.7908570945956851,Medium,Financially stable
125,0.0,19.29,-19.29,0.0,0.0,0.56550024701821,Medium,Financially stable
196,0.0,1449.89,-1449.89,0.0,0.0,0.4293454104609894,Low,Financially stable
94,0.0,1706.6999999999998,-1706.6999999999998,0.0,0.0,1.1497845629658336,High,High financial risk - review budget immediately
47,0.0,1284.67,-1284.67,0.0,0.0,0.6128113613622755,Medium,Financially stable
19,0.0,1386.72,-1386.72,0.0,0.0,0.5496513777480055,Medium,Financially stable
23,0.0,1749.98,-1749.98,0.0,0.0,0.23653020303731853,Low,Financially stable
34,0.0,3188.63,-3188.63,0.0,0.0,0.84523663276148,Medium,Financially stable
16,0.0,1729.9,-1729.9,0.0,0.0,0.477369045126406,Low,Financially stable
76,0.0,1813.54,-1813.54,0.0,0.0,0.6806803261992795,Medium,Financially stable
85,3657.0,0.0,3657.0,1.0,0.0,0.4686808455465985,Low,Financially stable
10,0.0,1794.97,-1794.97,0.0,0.0,0.48050250474089995,Low,Financially stable
138,0.0,397.55,-397.55,0.0,0.0,0.690852704649222,Medium,Financially stable
80,0.0,373.74,-373.74,0.0,0.0,0.979713696324476,Medium,Financially stable
74,0.0,136.95,-136.95,0.0,0.0,0.1836068029130184,Low,Financially stable
141,0.0,466.42,-466.42,0.0,0.0,0.5128550448898705,Medium,Financially stable
