User,Date,Category,Amount,Type
63,2020-06-12,Utilities,1729.41,Expense
139,2020-10-12,Shopping,686.35,Expense
81,2020-10-12,Travel,1642.89,Expense
136,2020-11-12,Travel,1676.58,Expense
163,2020-12-12,Salary,1731.87,Expense
163,2021-01-01,Food & Drink,101.52,Expense
33,2021-06-01,Travel,723.34,Expense
123,2021-06-01,Entertainment,1067.02,Expense
5,2021-08-01,Utilities,348.27,Expense
41,2021-10-01,Other,2472.0,Income
28,2021-10-01,Utilities,472.06,Expense
135,2021-11-01,Salary,518.1,Expense
72,2021-12-01,Other,2856.0,Income
12,2021-02-02,Salary,1935.09,Expense
162,2021-05-02,Health & Fitness,1610.42,Expense
33,2021-05-02,Rent,290.11,Expense
48,2021-08-02,Shopping,1934.87,Expense
151,2021-08-02,Health & Fitness,189.7,Expense
62,2021-09-02,Travel,1077.78,Expense
37,2021-09-02,Travel,1173.27,Expense
99,2021-11-02,Health & Fitness,225.61,Expense
172,2021-11-02,Food & Drink,1242.9,Expense
104,2021-02-03,Entertainment,1712.35,Expense
35,2021-02-03,Other,4960.0,Income
193,2021-02-03,Health & Fitness,130.49,Expense
101,2021-04-03,Rent,1898.53,Expense
175,2021-05-03,Rent,1328.91,Expense
131,2021-05-03,Food & Drink,110.65,Expense
1,2021-07-03,Utilities,1576.09,Expense
5,2021-07-03,Entertainment,1176.9,Expense
142,2021-08-03,Entertainment,663.83,Expense
103,2021-09-03,Investment,2771.0,Income
27,2021-09-03,Utilities,1975.18,Expense
137,2021-10-03,Utilities,228.75,Expense
15,2021-12-03,Utilities,39.57,Expense
90,2021-01-04,Health & Fitness,1343.33,Expense
42,2021-02-04,Shopping,1737.5,Expense
124,2021-03-04,Travel,1204.82,Expense
179,2021-03-04,Entertainment,317.91,Expense
63,2021-03-04,Rent,706.73,Expense
96,2021-08-04,Rent,1527.59,Expense
52,2021-08-04,Shopping,1691.86,Expense
96,2021-09-04,Food & Drink,1221.9,Expense
132,2021-11-04,Travel,67.62,Expense
151,2021-11-04,Travel,1843.86,Expense
143,2021-12-04,Utilities,1741.03,Expense
171,2021-02-05,Utilities,267.08,Expense
29,2021-04-05,Entertainment,1005.52,Expense
36,2021-04-05,Health & Fitness,153.43,Expense
13,2021-06-05,Food & Drink,878.08,Expense
160,2021-07-05,Rent,1725.6,Expense
71,2021-07-05,Shopping,1421.9,Expense
187,2021-07-05,Rent,816.01,Expense
86,2021-10-05,Utilities,1604.63,Expense
28,2021-11-05,Health & Fitness,185.38,Expense
66,2021-11-05,Entertainment,877.0,Expense
170,2021-12-05,Rent,797.58,Expense
45,2021-02-06,Utilities,1915.87,Expense
62,2021-02-06,Health & Fitness,1964.95,Expense
185,2021-03-06,Investment,820.0,Income
134,2021-06-06,Salary,1982.06,Expense
28,2021-06-06,Utilities,734.16,Expense
28,2021-06-06,Shopping,823.45,Expense
108,2021-09-06,Food & Drink,1580.56,Expense
44,2021-11-06,Rent,666.08,Expense
84,2021-11-06,Shopping,575.45,Expense
30,2021-04-07,Entertainment,1939.48,Expense
190,2021-04-07,Salary,475.67,Expense
75,2021-04-07,Salary,1808.91,Expense
128,2021-06-07,Other,4282.0,Income
92,2021-07-07,Shopping,1010.78,Expense
190,2021-09-07,Utilities,1635.61,Expense
129,2021-09-07,Utilities,1747.27,Expense
121,2021-10-07,Other,3540.0,Income
27,2021-10-07,Rent,1425.69,Expense
190,2021-11-07,Rent,577.28,Expense
121,2021-11-07,Travel,904.15,Expense
116,2021-11-07,Shopping,192.51,Expense
3,2021-12-07,Salary,1770.41,Expense
103,2021-02-08,Travel,252.48,Expense
198,2021-06-08,Salary,134.99,Expense
200,2021-07-08,Salary,1197.51,Expense
155,2021-07-08,Investment,1676.0,Income
137,2021-08-08,Food & Drink,1233.47,Expense
62,2021-09-08,Shopping,382.75,Expense
165,2021-11-08,Health & Fitness,144.68,Expense
51,2021-05-09,Rent,1600.69,Expense
172,2021-06-09,Shopping,1489.18,Expense
152,2021-09-09,Shopping,684.68,Expense
59,2021-09-09,Other,3509.0,Income
118,2021-09-09,Travel,1604.28,Expense
160,2021-10-09,Rent,866.91,Expense
96,2021-11-09,Utilities,1095.49,Expense
180,2021-11-09,Rent,662.56,Expense
113,2021-11-09,Salary,1209.22,Expense
62,2021-11-09,Salary,709.58,Expense
186,2021-01-10,Salary,437.0,Expense
52,2021-07-10,Salary,408.35,Expense
12,2021-08-10,Investment,4203.0,Income
39,2021-03-11,Health & Fitness,265.39,Expense
130,2021-04-11,Utilities,1537.89,Expense
131,2021-05-11,Investment,1517.0,Income
113,2021-05-11,Travel,337.67,Expense
101,2021-06-11,Entertainment,698.59,Expense
113,2021-07-11,Travel,1693.41,Expense
184,2021-10-11,Travel,259.09,Expense
81,2021-01-12,Health & Fitness,491.06,Expense
187,2021-02-12,Other,2530.0,Income
113,2021-03-12,Investment,2877.0,Income
2,2021-03-12,Shopping,504.06,Expense
130,2021-08-12,Utilities,1628.82,Expense
54,2021-09-12,Health & Fitness,387.77,Expense
87,2021-09-12,Other,4585.0,Income
129,2021-11-12,Salary,56.12,Expense
147,2021-12-12,Salary,1933.71,Expense
126,2022-01-01,Salary,1043.47,Expense
130,2022-03-01,Investment,3186.0,Income
53,2022-03-01,Health & Fitness,333.38,Expense
172,2022-03-01,Travel,1191.51,Expense
160,2022-04-01,Salary,1420.39,Expense
198,2022-05-01,Food & Drink,743.03,Expense
160,2022-06-01,Shopping,1171.57,Expense
68,2022-08-01,Food & Drink,1197.85,Expense
183,2022-09-01,Entertainment,1445.59,Expense
184,2022-01-02,Travel,1412.75,Expense
123,2022-02-02,Salary,640.91,Expense
145,2022-05-02,Travel,582.7,Expense
38,2022-05-02,Shopping,1792.56,Expense
24,2022-06-02,Health & Fitness,1909.67,Expense
69,2022-08-02,Travel,93.71,Expense
116,2022-08-02,Rent,699.26,Expense
98,2022-09-02,Travel,1497.2,Expense
198,2022-10-02,Travel,1866.72,Expense
139,2022-10-02,Utilities,227.36,Expense
144,2022-10-02,Entertainment,492.49,Expense
97,2022-10-02,Entertainment,1279.51,Expense
124,2022-11-02,Other,3205.0,Income
187,2022-01-03,Salary,1779.63,Expense
70,2022-02-03,Other,2735.0,Income
93,2022-04-03,Investment,3208.0,Income
3,2022-05-03,Other,2607.0,Income
148,2022-07-03,Food & Drink,1475.87,Expense
187,2022-07-03,Entertainment,359.23,Expense
164,2022-12-03,Shopping,1655.71,Expense
147,2022-01-04,Investment,1098.0,Income
90,2022-01-04,Other,1022.0,Income
195,2022-01-04,Food & Drink,1869.82,Expense
147,2022-01-04,Other,759.0,Income
148,2022-02-04,Utilities,1540.25,Expense
96,2022-02-04,Shopping,755.18,Expense
199,2022-03-04,Salary,1740.54,Expense
52,2022-03-04,Shopping,169.7,Expense
161,2022-04-04,Utilities,1310.53,Expense
168,2022-05-04,Utilities,1985.77,Expense
128,2022-08-04,Utilities,1458.44,Expense
39,2022-09-04,Food & Drink,1514.8,Expense
82,2022-09-04,Salary,1350.26,Expense
104,2022-10-04,Shopping,1648.49,Expense
129,2022-10-04,Health & Fitness,318.69,Expense
11,2022-02-05,Entertainment,832.98,Expense
185,2022-02-05,Utilities,1255.73,Expense
178,2022-03-05,Salary,103.3,Expense
151,2022-05-05,Shopping,1573.75,Expense
159,2022-05-05,Shopping,822.44,Expense
42,2022-06-05,Utilities,1511.29,Expense
99,2022-07-05,Entertainment,608.47,Expense
7,2022-07-05,Salary,1830.33,Expense
144,2022-07-05,Shopping,1119.0,Expense
90,2022-08-05,Investment,2588.0,Income
112,2022-08-05,Rent,1845.23,Expense
60,2022-09-05,Rent,1075.91,Expense
113,2022-09-05,Food & Drink,544.24,Expense
2,2022-11-05,Food & Drink,1748.5,Expense
129,2022-01-06,Food & Drink,1052.65,Expense
48,2022-01-06,Rent,1890.92,Expense
140,2022-04-06,Food & Drink,830.66,Expense
197,2022-04-06,Entertainment,145.26,Expense
37,2022-06-06,Investment,4642.0,Income
160,2022-07-06,Food & Drink,1239.49,Expense
9,2022-07-06,Salary,1321.98,Expense
99,2022-11-06,Other,597.0,Income
147,2022-11-06,Other,4888.0,Income
48,2022-12-06,Food & Drink,1009.41,Expense
131,2022-12-06,Shopping,1614.27,Expense
148,2022-12-06,Rent,1836.92,Expense
152,2022-01-07,Shopping,1858.46,Expense
54,2022-02-07,Entertainment,1137.72,Expense
120,2022-04-07,Health & Fitness,773.85,Expense
161,2022-04-07,Rent,1006.58,Expense
152,2022-04-07,Food & Drink,204.39,Expense
116,2022-05-07,Rent,687.78,Expense
75,2022-06-07,Shopping,1938.15,Expense
113,2022-02-08,Other,2520.0,Income
200,2022-02-08,Salary,1191.67,Expense
164,2022-03-08,Investment,1609.0,Income
166,2022-04-08,Shopping,671.11,Expense
104,2022-06-08,Health & Fitness,886.04,Expense
84,2022-07-08,Utilities,607.87,Expense
112,2022-12-08,Entertainment,963.23,Expense
99,2022-01-09,Utilities,696.49,Expense
153,2022-02-09,Investment,2920.0,Income
93,2022-03-09,Rent,240.98,Expense
146,2022-03-09,Utilities,703.17,Expense
128,2022-03-09,Entertainment,1047.02,Expense
110,2022-04-09,Rent,881.95,Expense
82,2022-04-09,Health & Fitness,143.68,Expense
194,2022-05-09,Investment,685.0,Income
54,2022-06-09,Rent,1357.51,Expense
163,2022-07-09,Investment,4727.0,Income
189,2022-08-09,Investment,3211.0,Income
169,2022-10-09,Salary,471.39,Expense
161,2022-11-09,Utilities,380.91,Expense
68,2022-11-09,Shopping,68.09,Expense
33,2022-12-09,Entertainment,904.65,Expense
142,2022-01-10,Food & Drink,1732.39,Expense
21,2022-02-10,Salary,281.7,Expense
48,2022-03-10,Salary,824.18,Expense
148,2022-04-10,Salary,982.51,Expense
128,2022-04-10,Investment,2306.0,Income
136,2022-05-10,Travel,457.44,Expense
135,2022-08-10,Salary,1135.64,Expense
195,2022-10-10,Salary,1103.96,Expense
145,2022-12-10,Investment,2694.0,Income
128,2022-12-10,Health & Fitness,1088.67,Expense
33,2022-03-11,Travel,1149.74,Expense
176,2022-04-11,Rent,279.82,Expense
187,2022-05-11,Shopping,1838.35,Expense
115,2022-07-11,Utilities,1405.84,Expense
119,2022-07-11,Investment,3138.0,Income
22,2022-09-11,Shopping,984.02,Expense
158,2022-10-11,Travel,1259.35,Expense
38,2022-01-12,Utilities,1765.47,Expense
109,2022-03-12,Travel,195.75,Expense
51,2022-04-12,Rent,749.97,Expense
182,2022-05-12,Utilities,113.06,Expense
8,2022-05-12,Entertainment,864.17,Expense
27,2022-07-12,Investment,508.0,Income
27,2022-12-12,Rent,274.07,Expense
21,2023-03-01,Investment,4105.0,Income
30,2023-04-01,Entertainment,1259.88,Expense
97,2023-04-01,Other,4124.0,Income
28,2023-06-01,Rent,1794.22,Expense
111,2023-09-01,Investment,3645.0,Income
192,2023-10-01,Shopping,635.86,Expense
197,2023-11-01,Other,1190.0,Income
61,2023-01-02,Utilities,366.13,Expense
48,2023-02-02,Food & Drink,1110.2,Expense
147,2023-03-02,Shopping,456.79,Expense
4,2023-06-02,Health & Fitness,549.8,Expense
35,2023-07-02,Other,1478.0,Income
192,2023-07-02,Food & Drink,366.9,Expense
49,2023-08-02,Food & Drink,1908.62,Expense
17,2023-08-02,Other,2812.0,Income
172,2023-09-02,Travel,661.33,Expense
158,2023-12-02,Food & Drink,744.15,Expense
46,2023-03-03,Shopping,158.91,Expense
117,2023-03-03,Shopping,1328.26,Expense
6,2023-05-03,Other,2638.0,Income
99,2023-05-03,Shopping,1404.44,Expense
124,2023-05-03,Health & Fitness,910.99,Expense
37,2023-07-03,Entertainment,280.86,Expense
24,2023-08-03,Rent,319.27,Expense
93,2023-08-03,Other,3072.0,Income
46,2023-08-03,Health & Fitness,1929.62,Expense
181,2023-08-03,Travel,932.06,Expense
95,2023-10-03,Rent,323.65,Expense
99,2023-10-03,Food & Drink,437.89,Expense
188,2023-12-03,Utilities,191.51,Expense
116,2023-01-04,Entertainment,1265.2,Expense
191,2023-01-04,Food & Drink,1978.91,Expense
160,2023-04-04,Health & Fitness,964.57,Expense
161,2023-07-04,Health & Fitness,1826.23,Expense
67,2023-08-04,Shopping,548.17,Expense
128,2023-09-04,Investment,740.0,Income
18,2023-10-04,Travel,126.6,Expense
25,2023-10-04,Health & Fitness,1536.02,Expense
54,2023-02-05,Food & Drink,670.15,Expense
58,2023-02-05,Utilities,688.11,Expense
67,2023-03-05,Other,987.0,Income
104,2023-05-05,Investment,1408.0,Income
174,2023-05-05,Health & Fitness,1921.51,Expense
24,2023-05-05,Shopping,1176.17,Expense
114,2023-07-05,Health & Fitness,281.54,Expense
32,2023-12-05,Other,4491.0,Income
175,2023-02-06,Investment,4981.0,Income
86,2023-03-06,Rent,682.52,Expense
151,2023-04-06,Salary,1411.96,Expense
194,2023-05-06,Utilities,1218.56,Expense
127,2023-08-06,Food & Drink,211.5,Expense
155,2023-08-06,Entertainment,824.47,Expense
130,2023-09-06,Travel,1324.59,Expense
17,2023-09-06,Rent,108.77,Expense
104,2023-10-06,Salary,315.64,Expense
161,2023-10-06,Shopping,184.38,Expense
137,2023-01-07,Utilities,249.36,Expense
43,2023-02-07,Utilities,1898.63,Expense
176,2023-05-07,Investment,2078.0,Income
39,2023-05-07,Other,1141.0,Income
170,2023-06-07,Shopping,411.82,Expense
26,2023-07-07,Utilities,1669.88,Expense
99,2023-07-07,Rent,183.18,Expense
50,2023-10-07,Health & Fitness,1714.68,Expense
153,2023-10-07,Food & Drink,1575.24,Expense
152,2023-10-07,Shopping,233.91,Expense
13,2023-10-07,Investment,1365.0,Income
60,2023-11-07,Rent,1573.63,Expense
135,2023-01-08,Entertainment,555.22,Expense
57,2023-04-08,Shopping,1274.47,Expense
36,2023-05-08,Investment,2481.0,Income
173,2023-07-08,Salary,363.39,Expense
20,2023-07-08,Health & Fitness,695.06,Expense
65,2023-09-08,Travel,1500.43,Expense
8,2023-09-08,Travel,64.63,Expense
144,2023-10-08,Investment,2313.0,Income
142,2023-10-08,Entertainment,545.48,Expense
115,2023-11-08,Food & Drink,1730.61,Expense
143,2023-01-09,Entertainment,1800.38,Expense
92,2023-01-09,Shopping,1324.46,Expense
98,2023-03-09,Food & Drink,1314.25,Expense
66,2023-04-09,Travel,1814.75,Expense
32,2023-04-09,Food & Drink,1170.22,Expense
191,2023-04-09,Entertainment,692.9,Expense
86,2023-07-09,Salary,1813.99,Expense
51,2023-10-09,Travel,1692.38,Expense
153,2023-11-09,Utilities,594.63,Expense
186,2023-11-09,Travel,1453.12,Expense
63,2023-12-09,Utilities,1894.38,Expense
190,2023-12-09,Rent,452.28,Expense
125,2023-03-10,Shopping,19.29,Expense
150,2023-04-10,Health & Fitness,1900.64,Expense
58,2023-04-10,Entertainment,45.65,Expense
58,2023-05-10,Investment,2353.0,Income
86,2023-06-10,Health & Fitness,631.06,Expense
49,2023-08-10,Other,1868.0,Income
180,2023-08-10,Investment,2942.0,Income
170,2023-08-10,Salary,1458.39,Expense
70,2023-09-10,Health & Fitness,872.99,Expense
15,2023-09-10,Utilities,692.04,Expense
54,2023-11-10,Health & Fitness,1502.73,Expense
188,2023-04-11,Investment,4577.0,Income
101,2023-05-11,Investment,2654.0,Income
8,2023-08-11,Entertainment,722.26,Expense
53,2023-08-11,Utilities,88.42,Expense
60,2023-08-11,Entertainment,1379.53,Expense
108,2023-09-11,Entertainment,15.45,Expense
5,2023-09-11,Rent,1672.11,Expense
103,2023-11-11,Utilities,1899.4,Expense
196,2023-11-11,Rent,1449.89,Expense
6,2023-05-12,Entertainment,1956.01,Expense
109,2023-05-12,Health & Fitness,1043.01,Expense
116,2023-06-12,Rent,871.37,Expense
94,2023-08-12,Salary,698.04,Expense
47,2023-09-12,Shopping,305.82,Expense
99,2023-09-12,Food & Drink,33.17,Expense
55,2023-10-12,Salary,1705.22,Expense
168,2023-11-12,Rent,1505.35,Expense
52,2024-02-01,Travel,1099.9,Expense
144,2024-02-01,Rent,101.1,Expense
13,2024-04-01,Investment,3852.0,Income
114,2024-04-01,Investment,2036.0,Income
124,2024-07-01,Other,2266.0,Income
106,2024-09-01,Entertainment,1436.41,Expense
158,2024-09-01,Other,880.0,Income
147,2024-10-01,Rent,1546.57,Expense
145,2024-11-01,Utilities,1928.07,Expense
120,2024-11-01,Investment,4045.0,Income
63,2024-11-01,Salary,1849.5,Expense
19,2024-12-01,Utilities,1386.72,Expense
92,2024-01-02,Travel,1388.94,Expense
58,2024-06-02,Other,3674.0,Income
183,2024-07-02,Health & Fitness,1932.01,Expense
90,2024-07-02,Other,2163.0,Income
117,2024-10-02,Salary,1661.67,Expense
62,2024-10-02,Health & Fitness,1512.66,Expense
23,2024-10-02,Entertainment,1554.53,Expense
127,2024-02-03,Health & Fitness,1033.48,Expense
137,2024-03-03,Salary,97.26,Expense
140,2024-05-03,Entertainment,647.42,Expense
129,2024-05-03,Investment,1871.0,Income
58,2024-06-03,Food & Drink,1257.6,Expense
122,2024-06-03,Entertainment,1731.25,Expense
1,2024-06-03,Rent,419.1,Expense
34,2024-07-03,Shopping,1296.66,Expense
96,2024-07-03,Utilities,57.27,Expense
126,2024-08-03,Food & Drink,184.17,Expense
118,2024-11-03,Other,1077.0,Income
48,2024-03-04,Travel,1920.67,Expense
89,2024-04-04,Other,591.0,Income
117,2024-06-04,Utilities,255.24,Expense
129,2024-07-04,Other,4900.0,Income
16,2024-08-04,Rent,616.34,Expense
189,2024-09-04,Health & Fitness,431.36,Expense
192,2024-09-04,Utilities,330.3,Expense
191,2024-10-04,Travel,396.71,Expense
69,2024-10-04,Investment,4996.0,Income
22,2024-11-04,Rent,588.4,Expense
93,2024-02-05,Rent,1457.58,Expense
195,2024-03-05,Food & Drink,1627.16,Expense
76,2024-04-05,Entertainment,1813.54,Expense
154,2024-04-05,Salary,1311.28,Expense
144,2024-05-05,Other,2329.0,Income
179,2024-05-05,Travel,276.42,Expense
86,2024-01-06,Travel,1671.4,Expense
185,2024-02-06,Utilities,759.55,Expense
29,2024-02-06,Rent,1038.16,Expense
69,2024-03-06,Entertainment,1037.58,Expense
47,2024-04-06,Health & Fitness,978.85,Expense
94,2024-06-06,Food & Drink,1008.66,Expense
190,2024-07-06,Investment,2384.0,Income
197,2024-09-06,Other,2232.0,Income
144,2024-10-06,Investment,3467.0,Income
176,2024-12-06,Rent,1325.61,Expense
85,2024-01-07,Other,3657.0,Income
39,2024-05-07,Investment,2157.0,Income
100,2024-06-07,Shopping,1654.76,Expense
33,2024-07-07,Utilities,956.98,Expense
101,2024-07-07,Food & Drink,1756.73,Expense
23,2024-07-07,Rent,195.45,Expense
10,2024-07-07,Food & Drink,1794.97,Expense
69,2024-01-08,Food & Drink,1451.74,Expense
100,2024-02-08,Shopping,1231.79,Expense
34,2024-02-08,Food & Drink,1891.97,Expense
180,2024-03-08,Salary,883.55,Expense
138,2024-03-08,Travel,397.55,Expense
147,2024-08-08,Entertainment,1234.23,Expense
186,2024-09-08,Health & Fitness,486.12,Expense
96,2024-11-08,Investment,1211.0,Income
1,2024-01-09,Health & Fitness,1037.84,Expense
69,2024-02-09,Other,2533.0,Income
4,2024-05-09,Shopping,1350.66,Expense
16,2024-05-09,Rent,1113.56,Expense
24,2024-05-09,Other,3396.0,Income
80,2024-05-09,Travel,373.74,Expense
2,2024-06-09,Entertainment,1003.01,Expense
128,2024-07-09,Investment,2674.0,Income
160,2024-08-09,Entertainment,1671.53,Expense
84,2024-10-09,Health & Fitness,320.43,Expense
152,2024-01-10,Shopping,566.46,Expense
140,2024-01-10,Investment,2372.0,Income
178,2024-02-10,Travel,1610.13,Expense
163,2024-02-10,Shopping,400.17,Expense
124,2024-03-10,Utilities,951.24,Expense
33,2024-04-10,Other,4592.0,Income
161,2024-04-10,Other,4486.0,Income
189,2024-07-10,Food & Drink,802.82,Expense
179,2024-08-10,Food & Drink,438.78,Expense
171,2024-09-10,Rent,905.21,Expense
101,2024-10-10,Health & Fitness,727.01,Expense
12,2024-10-10,Travel,694.84,Expense
67,2024-11-10,Health & Fitness,1736.06,Expense
65,2024-12-10,Entertainment,1157.94,Expense
161,2024-01-11,Travel,1881.47,Expense
168,2024-02-11,Rent,429.04,Expense
74,2024-03-11,Rent,136.95,Expense
43,2024-03-11,Food & Drink,62.47,Expense
44,2024-11-11,Rent,216.82,Expense
29,2024-11-11,Rent,1313.12,Expense
141,2024-12-11,Travel,466.42,Expense
12,2024-02-12,Utilities,39.3,Expense
95,2024-05-12,Shopping,630.04,Expense
46,2024-06-12,Health & Fitness,932.73,Expense
130,2024-09-12,Health & Fitness,169.64,Expense
35,2024-11-12,Utilities,121.52,Expense
81,2024-12-12,Rent,1090.95,Expense
90,2024-12-12,Other,3625.0,Income
